,Tweet,Processed Tweet,polarity,sentiment
22,"RT @SSuiteSoftware: What is an online virtual desktop and how do you use it... 🌐  🤔 👨‍💻

https://t.co/KOyDiAO3Qd

#desktop #Windows #androi…", What online virtual desktop use it... 🌐 🤔 👨‍💻  #desktop #Windows #androi…,0.0,Neutral
23,"What is an online virtual desktop and how do you use it... 🌐  🤔 👨‍💻

https://t.co/KOyDiAO3Qd

#desktop #Windows… https://t.co/kpzXxP7UZf",What online virtual desktop use it... 🌐 🤔 👨‍💻  #desktop #Windows… ,0.0,Neutral
24,Updated #Windows11 today in my #Omen 15-2020 https://t.co/QnpRcP4HSv,Updated today #Omen 15-2020 ,0.0,Neutral
25,"RT @adaptabilii: windows 11 is the shit. #Windows11 
oh my god theres a hashtag yes.
@Microsoft
@BillGates", window 11 shit. oh god there hashtag yes.  ,-0.2,Negative
27,"#Freigabe aller #SOMACOS-Produkte für Microsoft Office 2021, Windows 11 und Windows Server 2022

Erfahren Sie hier… https://t.co/4PxqKNM6zQ","#Freigabe aller #SOMACOS-Produkte für Microsoft Office 2021, Windows 11 und Windows Server 2022 Erfahren Sie hier… ",0.0,Neutral
28,Wondering if upgrading to Windows 11 will speed up your current PC? Read the article for test results:… https://t.co/o3azM7b6Ao,Wondering upgrading Windows 11 speed current PC? Read article test results:… ,0.0,Neutral
29,You'll want to try these Windows 11 features https://t.co/V1saI28A8p #windows11,You'll want try Windows 11 feature  #windows11,0.0,Neutral
31,Problem with #Windows11. Why won’t the clock show up on the second monitor? I wish it did.,Problem #Windows11. Why won’t clock show second monitor? I wish did.,0.0,Neutral
32,"How to customize the Start Menu in #Windows11
https://t.co/1hpvrFLjsl https://t.co/qUEHyh9tuS",How customize Start Menu  ,0.0,Neutral
34,"If you're building Windows desktop applications, you can't miss the new free e-book A Developer's Guide to MSIX by… https://t.co/ClFbiuRjg5","If building Windows desktop applications, can't miss new free e-book A Developer's Guide MSIX by… ",0.2681818181818182,Positive
35,@herogrig @kallianos εμενα παντως κανενα απο τα κομπιουτερ μου δεν παιρνουν #Windows11 !,  εμενα παντως κανενα απο τα κομπιουτερ μου δεν παιρνουν !,0.0,Neutral
36,"kunaldchowdhury: Microsoft adds photo editing feature to its cloud storage platform 'OneDrive', and here's what you… https://t.co/OxMg3HW66D","kunaldchowdhury: Microsoft add photo editing feature cloud storage platform 'OneDrive', here's you… ",0.0,Neutral
38,#Windows11 is out now. But should you update to the newest OS on you work computer? Find out more in our latest blo… https://t.co/gKX4TbjcLe,now. But update newest OS work computer? Find latest blo… ,0.5,Positive
40,自宅のパソコンが何台かあるんだけど、windows11にしたら自宅のネットワークがすんなりつながるようになった。windows10の時は、再起動しないとお互いが認識されない時が多々あった。　#Windows11,自宅のパソコンが何台かあるんだけど、windows11にしたら自宅のネットワークがすんなりつながるようになった。windows10の時は、再起動しないとお互いが認識されない時が多々あった。,0.0,Neutral
41,"おおおw

『Nomad Factory』さん、
『Monterey』と『Win11』公式対応ですかw
→ https://t.co/eDUSeyKlA5

『M1 ネイティヴ』はもうちょいかかるのねw

でも、Nomad Fac… https://t.co/6K1ZDxJbZi",おおおw 『Nomad Factory』さん、 『Monterey』と『Win11』公式対応ですかw →  『M1 ネイティヴ』はもうちょいかかるのねw でも、Nomad Fac… ,0.0,Neutral
42,"【Windows11】入れておきたいおすすめのアプリ・ソフトを14個紹介！

僕が実際に使ったアプリに厳選して紹介しています。Windows11にしたけど色々不満がある方、参考にしてみてください。
#Windows11… https://t.co/XP2DNgzgsC",【Windows11】入れておきたいおすすめのアプリ・ソフトを14個紹介！ 僕が実際に使ったアプリに厳選して紹介しています。Windows11にしたけど色々不満がある方、参考にしてみてください。 #Windows11… ,0.0,Neutral
44,"💡 #DellAiuta: I sistemi #Dell sono proposti con diversi sistemi operativi:

#Windows11
#Windows11PRO
#WindowsS… https://t.co/pYYiXH33wr",💡 #DellAiuta: I sistemi #Dell sono proposti con diversi sistemi operativi: #Windows11PRO #WindowsS… ,0.0,Neutral
45,"Giving up is not an option.
#ADA #Streamlabs #SLOBS #Windows11 #ADA #ALGO #nft #Binance  #CoinMarketCap #BSC … https://t.co/I4z7D7heqn",Giving option. #ADA #Streamlabs #SLOBS #ADA #ALGO #nft #Binance #CoinMarketCap #BSC … ,0.0,Neutral
46,"If a laptop is cold, can it malfunction? Just can’t get it to start up!! #laptops #Windows11 #IT","If laptop cold, malfunction? Just can’t get start up!! #laptops #IT",-0.9375,Negative
49,"📅 #Windows11 piyasaya çıktı, ancak bu herkesin yükseltmeyi hemen alacağı anlamına gelmiyor.

Daha fazla bilgi edini… https://t.co/tCvNsUA3RJ","📅 piyasaya çıktı, ancak bu herkesin yükseltmeyi hemen alacağı anlamına gelmiyor. Daha fazla bilgi edini… ",0.0,Neutral
51,"A look at #Windows11 after using it for a month...

https://t.co/F3YSubgFfv

#blog #microsoft #experience #blogpost #wfh",A look using month...  #blog #microsoft #experience #blogpost #wfh,0.0,Neutral
53,October blessed us with yet another tech launch with the recent release of Windows 11. Can the new upgraded version… https://t.co/hS8muILIwc,October blessed u yet another tech launch recent release Windows 11. Can new upgraded version… ,0.06818181818181818,Neutral
55,"RT @UjjwalMurmu1044: Disable Microsoft News and Interest Windows 10.
#tech  #Technologies #technology #Windows10 #Windows #Windows11 #Windo…", Disable Microsoft News Interest Windows 10. #tech #Technologies #technology #Windows10 #Windows #Windo…,0.0,Neutral
56,今日でのWindows11でのWindowsアップデートにて『あなたはそこに』なんでやねんｗ（爆）#あなたはそこに #Windows11 #Windowsアップデート #Windowsアップデートあなたはそこに https://t.co/sTjJSurqyY,今日でのWindows11でのWindowsアップデートにて『あなたはそこに』なんでやねんｗ（爆）#あなたはそこに #Windowsアップデート #Windowsアップデートあなたはそこに ,0.0,Neutral
57,"RT @kunaldchowdhury: Microsoft adds photo editing feature to its cloud storage platform 'OneDrive', and here's what you can now do in OneDr…"," Microsoft add photo editing feature cloud storage platform 'OneDrive', here's OneDr…",0.0,Neutral
58,"Microsoft adds photo editing feature to its cloud storage platform 'OneDrive', and here's what you can now do in On… https://t.co/jZrEl2osLM","Microsoft add photo editing feature cloud storage platform 'OneDrive', here's On… ",0.0,Neutral
60,"✅ How To Use Focus Assist To Control Notifications in Windows 11
#focusassist #usefocusassist #focusassistwindows11… https://t.co/QcD8yBp92v",✅ How To Use Focus Assist To Control Notifications Windows 11 #focusassist #usefocusassist #focusassistwindows11… ,0.0,Neutral
62,"📢 OneDrive for Web gets a new photo editing feature https://t.co/eeVJIUddgD

#Microsoft #OneDrive #Cloud #Windows10… https://t.co/ehFJ3C2Zcs",📢 OneDrive Web get new photo editing feature  #Microsoft #OneDrive #Cloud #Windows10… ,0.13636363636363635,Positive
68,Windows 11 rallenta gli SSD NVMe: si moltiplicano le segnalazioni https://t.co/wqLaHWq4nk via @everyeye #Windows11 #SSD #nvme,Windows 11 rallenta gli SSD NVMe: si moltiplicano le segnalazioni  via  #SSD #nvme,0.0,Neutral
70,"Update van #windows10 naar #windows11 duurt en duurt maar, toch gedaan ivm probleem flikkerend beeldscherm #fingerscrossed","Update van #windows10 naar #windows11 duurt en duurt maar, toch gedaan ivm probleem flikkerend beeldscherm #fingerscrossed",0.0,Neutral
71,"In #ct 26/2021 geben wir #Geschenketipps, helfen beim Umstieg auf #Windows11 und testen #Saugbots. (mapa) https://t.co/uSEdtDKT3n","In #ct 26/2021 geben wir #Geschenketipps, helfen beim Umstieg auf und testen #Saugbots. (mapa) ",0.0,Neutral
73,Se instala el #Windows11 ? he aquí el dilema,Se instala el ? aquí el dilema,0.0,Neutral
74,RT @MicrosoftMEA: A calming experience designed to help you pursue your passions the way you want. With new ways to connect and tools that…, A calming experience designed help pursue passion way want. With new way connect tool that…,0.13636363636363635,Positive
75,"RT @petrkratina: Dear @Microsoft and @Windows, we really need to be able to drag files to task bar as we were able to do since Windows 95.…"," Dear  , really need able drag file task bar able since Windows 95.…",0.275,Positive
76,Welcome to #Windows11 ? https://t.co/ONFK7RjRGS,Welcome ? ,0.8,Positive
77,"Dear @Microsoft and @Windows, we really need to be able to drag files to task bar as we were able to do since Windo… https://t.co/bHKXp7SjBF","Dear  , really need able drag file task bar able since Windo… ",0.275,Positive
78,"RT @SSuiteSoftware: Discover our latest free online office suite created in pure HTML5... 🌐 👨‍💻 😍

https://t.co/wMMHjQFQVk

#Office365 #Off…", Discover latest free online office suite created pure HTML5... 🌐 👨‍💻 😍  #Office365 #Off…,0.37142857142857144,Positive
79,"Discover our latest free online office suite created in pure HTML5... 🌐 👨‍💻 😍

https://t.co/wMMHjQFQVk

#Office365… https://t.co/EWoKSuUIl0",Discover latest free online office suite created pure HTML5... 🌐 👨‍💻 😍  #Office365… ,0.37142857142857144,Positive
84,Forgot Your Windows Password? Here is How to Reset Windows 11/10 Login Password: https://t.co/hiwzBIVBW2… https://t.co/HIwmg1k91j,Forgot Your Windows Password? Here How Reset Windows 11/10 Login Password: … ,0.0,Neutral
85,Windows 11: Performance-Probleme mit NVMe-SSDs https://t.co/KGyoAtxTeX #Problem #Windows11 Borns IT- &amp; Windows-Blog,Windows 11: Performance-Probleme mit NVMe-SSDs  #Problem Borns IT- &amp; Windows-Blog,0.0,Neutral
88,@daquifsta It's so much easier to work with everything you need in front of you with #Windows11. Why drag your mous… https://t.co/OihpiYmJmH, It's much easier work everything need front #Windows11. Why drag mous… ,0.05,Neutral
89,"Mac OS X Ultimate Theme For Windows 11 
Get it here: https://t.co/RYahtWou9N 
#FreeFire #Windows11 #BTS #FIFA22… https://t.co/jtAYr22X2G",Mac OS X Ultimate Theme For Windows 11 Get here:  #FreeFire #BTS #FIFA22… ,0.0,Neutral
90,RT @TechtoReview1: Everyone wants to know how to download Windows 11. Here is the quickest guide telling you simple steps to update your Wi…, Everyone want know download Windows 11. Here quickest guide telling simple step update Wi…,0.0,Neutral
91,Everyone wants to know how to download Windows 11. Here is the quickest guide telling you simple steps to update yo… https://t.co/erpdPzmAZI,Everyone want know download Windows 11. Here quickest guide telling simple step update yo… ,0.0,Neutral
95,RT @AccessITAutomat: #Microsoft releases servicing pipeline update for #Windows11 Insider Dev Channel build 22509   https://t.co/OJsHkhaf4N…, #Microsoft release servicing pipeline update Insider Dev Channel build 22509 …,0.0,Neutral
97,Customizing #Windows11 default Start Menu during OSD using LayoutModification.json: https://t.co/AcSatl3czo,Customizing default Start Menu OSD using LayoutModification.json: ,0.0,Neutral
102,#Microsoft จะทำให้การตั้งค่าเบราว์เซอร์เริ่มต้นง่ายขึ้นสักที! เพราะปุ่มตั้งค่าเริ่มต้นแบบใหม่ใน #Windows11 เวอร์ชัน… https://t.co/IH7dUkSest,#Microsoft จะทำให้การตั้งค่าเบราว์เซอร์เริ่มต้นง่ายขึ้นสักที! เพราะปุ่มตั้งค่าเริ่มต้นแบบใหม่ใน เวอร์ชัน… ,0.0,Neutral
104,#Windows11 #UX is what happens when Windows 10 and Linux Mint Cinnamon eff and produce offspring.,#UX happens Windows 10 Linux Mint Cinnamon eff produce offspring.,0.0,Neutral
105,"RT @Windows_Japan: 【 Wi-Fi のパスワードの調べ方】
Wi-Fi のパスワードは PC がネットワークに接続中であれば、ネットワーク機器の裏や、メモ書きを探さなくても調べることができます。
家族への共有や来客の際に役立つ TIPS です。

▼調べ方はこ…", 【 Wi-Fi のパスワードの調べ方】 Wi-Fi のパスワードは PC がネットワークに接続中であれば、ネットワーク機器の裏や、メモ書きを探さなくても調べることができます。 家族への共有や来客の際に役立つ TIPS です。 ▼調べ方はこ…,0.0,Neutral
106,"RT @ccsmedia: Deploy, secure and manage PCs remotely through the cloud with Windows 11 powered by the Intel vPro® Platform.

Rise to the ch…"," Deploy, secure manage PCs remotely cloud Windows 11 powered Intel vPro® Platform. Rise ch…",0.15000000000000002,Positive
107,"Deploy, secure and manage PCs remotely through the cloud with Windows 11 powered by the Intel vPro® Platform.

Rise… https://t.co/r6kzzfYNSD","Deploy, secure manage PCs remotely cloud Windows 11 powered Intel vPro® Platform. Rise… ",0.15000000000000002,Positive
108,"【 Wi-Fi のパスワードの調べ方】
Wi-Fi のパスワードは PC がネットワークに接続中であれば、ネットワーク機器の裏や、メモ書きを探さなくても調べることができます。
家族への共有や来客の際に役立つ TIPS です。

▼… https://t.co/Y4A5Glpe9A",【 Wi-Fi のパスワードの調べ方】 Wi-Fi のパスワードは PC がネットワークに接続中であれば、ネットワーク機器の裏や、メモ書きを探さなくても調べることができます。 家族への共有や来客の際に役立つ TIPS です。 ▼… ,0.0,Neutral
109,The 5 Best Free Repair Tools for Windows 11 https://t.co/MAkOB8mBeK #windows11 #windowsinsiders,The 5 Best Free Repair Tools Windows 11  #windows11 #windowsinsiders,0.7,Positive
110,OEM's are exploring 5G beyond the smartphone Apple have positioned the iPad Pro as the perfect device for the Creat… https://t.co/2wPbpuMnsO,OEM's exploring 5G beyond smartphone Apple positioned iPad Pro perfect device Creat… ,1.0,Positive
111,"Disable Microsoft News and Interest Windows 10.
#tech  #Technologies #technology #Windows10 #Windows #Windows11… https://t.co/QxUJU03LqE",Disable Microsoft News Interest Windows 10. #tech #Technologies #technology #Windows10 #Windows #Windows11… ,0.0,Neutral
112,La adopción de #Windows11 se acerca al 9%: https://t.co/SZ6zxfEH2O,La adopción de se acerca al 9%: ,0.0,Neutral
114,"Windows 11 de ekran paylaşım problemi yaşıyorum, ayarları da kontrol ettim ama eksik veya yanlış bir şey  yok gibi. #Windows11","Windows 11 de ekran paylaşım problemi yaşıyorum, ayarları da kontrol ettim ama eksik veya yanlış bir şey yok gibi.",0.0,Neutral
115,"RT @GinjFo: #Windows11, vers une cadence d’évolution plus lente 
https://t.co/4HEY7CFo5a"," #Windows11, vers une cadence d’évolution plus lente ",0.0,Neutral
116,عندما تبحث عن شيء ما في قائمة ابدأ البحث في Windows 11 ، فإنه لا يقوم فقط بإجراء بحث على مستوى النظام ولكن أيضًا بح… https://t.co/IAt7svQNqf,عندما تبحث عن شيء ما في قائمة ابدأ البحث في Windows 11 ، فإنه لا يقوم فقط بإجراء بحث على مستوى النظام ولكن أيضًا بح… ,0.0,Neutral
117,إحدى السمات الأكثر جاذبية لنظام التشغيل Windows هي القدرة التي يوفرها لمستخدميه لتخصيصه. لقد قدم دائمًا الكثير من ا… https://t.co/YEzPXAHytf,إحدى السمات الأكثر جاذبية لنظام التشغيل Windows هي القدرة التي يوفرها لمستخدميه لتخصيصه. لقد قدم دائمًا الكثير من ا… ,0.0,Neutral
118,يستخدم متجر Microsoft لشراء وتنزيل العديد من التطبيقات والألعاب على أجهزة الكمبيوتر المكتبية والمحمولة التي تعمل بن… https://t.co/GZ7HP6Fvfl,يستخدم متجر Microsoft لشراء وتنزيل العديد من التطبيقات والألعاب على أجهزة الكمبيوتر المكتبية والمحمولة التي تعمل بن… ,0.0,Neutral
119,بعبارة ملطفة إذا قلنا أن شريط مهام Windows 11 هو أداة يدوية. في هذا التكرار الجديد لنظام التشغيل Windows ، يكون شري… https://t.co/LeT7opMK7j,بعبارة ملطفة إذا قلنا أن شريط مهام Windows 11 هو أداة يدوية. في هذا التكرار الجديد لنظام التشغيل Windows ، يكون شري… ,0.0,Neutral
121,"Windows 11 RCT | #Software  per verificare la compatibilità con #Windows11 
https://t.co/Vbq2cn1aBq https://t.co/7vxQg1TuVu",Windows 11 RCT | #Software per verificare la compatibilità con  ,0.0,Neutral
122,تقوم سلة المحذوفات بتخزين الملفات والمجلدات المحذوفة مؤقتًا في نظامك. يمكن استخدامه لاستعادة الملفات إذا تم حذفها ع… https://t.co/vvz1HUYkPJ,تقوم سلة المحذوفات بتخزين الملفات والمجلدات المحذوفة مؤقتًا في نظامك. يمكن استخدامه لاستعادة الملفات إذا تم حذفها ع… ,0.0,Neutral
123,RT @CIOLookmagazine: #Microsoft users can easily switch their default #browser with just one click as opposed to using Edge as the #default…, #Microsoft user easily switch default #browser one click opposed using Edge #default…,0.43333333333333335,Positive
124,#Microsoft users can easily switch their default #browser with just one click as opposed to using Edge as the… https://t.co/SJZns7juiv,#Microsoft user easily switch default #browser one click opposed using Edge the… ,0.43333333333333335,Positive
125,"＃Windows11　#PC　
みなさんはWindows11に移行しますか？教えてください！　※その他はリプで※",＃Windows11 #PC みなさんはWindows11に移行しますか？教えてください！ ※その他はリプで※,0.0,Neutral
128,Google выпустил обновление безопасности для Chrome 96 #google #chrome #windows10 #windows11 #macos #linux #android… https://t.co/qzIQqbZvG3,Google выпустил обновление безопасности для Chrome 96 #google #chrome #windows10 #windows11 #macos #linux #android… ,0.0,Neutral
129,仕事用のPC 9年も使って不具合多くて買い換えました〜でもネットバンキングが　#Windows11 に対応してないから10にしたんだけど…悩みながら設定してたら10から11にアップデートできるって画面出て😳慌ててやめてってタップし… https://t.co/yoajRuDSs6,仕事用のPC 9年も使って不具合多くて買い換えました〜でもネットバンキングが に対応してないから10にしたんだけど…悩みながら設定してたら10から11にアップデートできるって画面出て😳慌ててやめてってタップし… ,0.0,Neutral
131,"✅ How To Fix Locating Program Data Folder is Missing in Windows 11
#programdatafolder #programdatafoldermissing… https://t.co/b6EHQuOvwQ",✅ How To Fix Locating Program Data Folder Missing Windows 11 #programdatafolder #programdatafoldermissing… ,-0.2,Negative
132,"If you need to check whether your PC or laptop is eligible for the #Windows11 upgrade but aren’t sure how to check,… https://t.co/SzkkXK5FiP","If need check whether PC laptop eligible upgrade aren’t sure check,… ",0.5,Positive
133,📶 #DellAiuta: Saper risolvere i problemi di rete #Wireless permette di essere più autonomi e non perdere troppo tem… https://t.co/ERuEIcQYFa,📶 #DellAiuta: Saper risolvere problemi di rete #Wireless permette di essere più autonomi e non perdere troppo tem… ,0.0,Neutral
134,Belassítja az NVMe SSD-ket a Windows 11-re váltás egyes gépeken #lassulás #SSD #Windows11 - https://t.co/xXOVOcLbUw,Belassítja az NVMe SSD-ket Windows 11-re váltás egyes gépeken #lassulás #SSD - ,0.0,Neutral
138,"🔔Windows 11 : afficher la confirmation de suppression d’un fichier

➡️ https://t.co/BuDedJuC57

#Windows11… https://t.co/dhipEdhFRU",🔔Windows 11 : afficher la confirmation de suppression d’un fichier ➡️  #Windows11… ,0.0,Neutral
140,#Frustration of the day: having to hit the mouse button multiple times to get an item in the #Windows11 taskbar act… https://t.co/IMF5aT3m8v,#Frustration day: hit mouse button multiple time get item taskbar act… ,0.0,Neutral
141,"MBRからGPT・・・
MBR2GPT・・・変換できない
ん〜
あ❣️💡

win11インストール格闘中
(；￣Д￣)🍻
＃Windows11 https://t.co/jffukcC9bz",MBRからGPT・・・ MBR2GPT・・・変換できない ん〜 あ❣️💡 win11インストール格闘中 (；￣Д￣)🍻 ＃Windows11 ,0.0,Neutral
142,"Win11ではタスクバーを左右に配置することはできないみたい。私にとっては、これだけで移行する意欲を95%も失わせる仕様だ。
#Windows11",Win11ではタスクバーを左右に配置することはできないみたい。私にとっては、これだけで移行する意欲を95%も失わせる仕様だ。,0.0,Neutral
145,"Microsoft has brought back a one-click change for the default browser inside Windows 11.

https://t.co/AP2avULcqH… https://t.co/rngvks52tI",Microsoft brought back one-click change default browser inside Windows 11. … ,0.0,Neutral
146,"#Windows11, vers une cadence d’évolution plus lente 
https://t.co/4HEY7CFo5a","#Windows11, vers une cadence d’évolution plus lente ",0.0,Neutral
147,Fed up with Bing being your default search engine in Windows 11? Here’s how to change it | https://t.co/blc9zzf6LT… https://t.co/F7gHf53RZK,Fed Bing default search engine Windows 11? Here’s change | … ,0.0,Neutral
148,"RT @MicrosoftUK: Windows 11 features include 250 new emojis, including a menagerie of additional animals! 

What's your new favourite?

@Wi…"," Windows 11 feature include 250 new emojis, including menagerie additional animals! What's new favourite? …",0.15340909090909088,Positive
149,"Windows 11 features include 250 new emojis, including a menagerie of additional animals! 

What's your new favourit… https://t.co/vwFN3xTU3b","Windows 11 feature include 250 new emojis, including menagerie additional animals! What's new favourit… ",0.15340909090909088,Positive
150,Microsoft envisage une refonte radicale du copier-coller dans Edge et Chrome pour Windows 11… https://t.co/tSIUq3FRtz,Microsoft envisage une refonte radicale du copier-coller dans Edge et Chrome pour Windows 11… ,0.0,Neutral
156,RT @NeowinFeed: Windows 11 crippling NVMe SSD speeds according to multiple user reports #Windows11 #NVMeBug #SSD #NVMe https://t.co/dJooz1y…, Windows 11 crippling NVMe SSD speed according multiple user report #NVMeBug #SSD #NVMe …,0.0,Neutral
157,#Windows11 contre #ChromeOS pour les applis #Android https://t.co/G9H3TFUbCm via @arobasenet,contre #ChromeOS pour le applis #Android  via ,0.0,Neutral
158,Service-Tweet: Wer noch bei #Windows10 ist und über einen Wechsel zu #Windows11 nachdenkt: Tut es nicht. Beim neuen… https://t.co/L35fwQ91ym,Service-Tweet: Wer noch bei #Windows10 ist und über einen Wechsel zu nachdenkt: Tut e nicht. Beim neuen… ,0.0,Neutral
159,Windows 11 crippling NVMe SSD speeds according to multiple user reports #Windows11 #NVMeBug #SSD #NVMe… https://t.co/K4bBSIdcdx,Windows 11 crippling NVMe SSD speed according multiple user report #NVMeBug #SSD #NVMe… ,0.0,Neutral
162,"ヤフーショッピングで格安で販売されているWindowsプロダクトキー、正規品だと回答してくるけど、それを証明できるかと突っ込んだ質問をすると
回答が途絶える　笑
怪しすぎるやん。

#Windows11 
#プロダクトキー
#ヤフーショッピング
#マイクロソフト",ヤフーショッピングで格安で販売されているWindowsプロダクトキー、正規品だと回答してくるけど、それを証明できるかと突っ込んだ質問をすると 回答が途絶える 笑 怪しすぎるやん。 #プロダクトキー #ヤフーショッピング #マイクロソフト,0.0,Neutral
163,"TPM merupakan sebuah hal yang terdengar asing bagi sebagian besar pengguna, yang menyebabkan banyak kebingungan ket… https://t.co/jelt0vMHPf","TPM merupakan sebuah hal yang terdengar asing bagi sebagian besar pengguna, yang menyebabkan banyak kebingungan ket… ",0.0,Neutral
164,#webagency #webdesign #marketing #website #digitalmarketing  #socialmediamarketing #webdesigner #webmarketing… https://t.co/KIK4xMdLDY,#webagency #webdesign #marketing #website #digitalmarketing #socialmediamarketing #webdesigner #webmarketing… ,0.0,Neutral
165,"RT @Alexis_Bletsas: #Test du #Dell XPS 15 9510 : le même que l’an passé, en mieux
@Frandroid @_UglyToe @UlrichRozier @POLGEOdile @sorodebss…"," #Test du #Dell XPS 15 9510 : le même que l’an passé, en mieux     …",0.0,Neutral
166,I am not installing #Windows11 but i love #DarkTheme,I installing love #DarkTheme,0.5,Positive
167,"RT @DynabookDACH: Konzipiert für hybrides Arbeiten: Unsere neueste Tecra-Serie im 14- und 15,6-Zoll-Format vereint die wichtigsten Funktion…"," Konzipiert für hybrides Arbeiten: Unsere neueste Tecra-Serie im 14- und 15,6-Zoll-Format vereint die wichtigsten Funktion…",0.0,Neutral
168,"#Test du #Dell XPS 15 9510 : le même que l’an passé, en mieux
@Frandroid @_UglyToe @UlrichRozier @POLGEOdile… https://t.co/kjpXYMcicd","#Test du #Dell XPS 15 9510 : le même que l’an passé, en mieux    … ",0.0,Neutral
169,"We got our #stream to work fine with #voicemeeter and #Windows11 yesterday . #PUBG is also running ""ok"", but today… https://t.co/TUJ98twJYo","We got #stream work fine #voicemeeter yesterday . #PUBG also running ""ok"", today… ",0.45833333333333337,Positive
171,"Windows10の方やデスクトップ画面上にファイルやフォルダが大量に配置されている方必見💡Gif動画あり

タスクバーやエクスプローラのピン留め設定を利用することで利用頻度の高いファイルやフォルダへのアクセス時間を短縮💡… https://t.co/B7ujX0q0n4",Windows10の方やデスクトップ画面上にファイルやフォルダが大量に配置されている方必見💡Gif動画あり タスクバーやエクスプローラのピン留め設定を利用することで利用頻度の高いファイルやフォルダへのアクセス時間を短縮💡… ,0.0,Neutral
173,"#Windows11 Color filters option lets you see all in black and white.  How cool is that?
#uidesign #uxdesign",Color filter option let see black white. How cool that? #uidesign #uxdesign,0.06111111111111111,Neutral
174,"✅ How To Fix Dead By Daylight Launch Problems
#deadbydaylight #deadbydaylighterror #deadbydaylightnotlaunch… https://t.co/0OM6sZ9YU3",✅ How To Fix Dead By Daylight Launch Problems #deadbydaylight #deadbydaylighterror #deadbydaylightnotlaunch… ,-0.2,Negative
